證券代碼,年月日,收盤價(元),流通在外股數(千股),成交量(千股)
00647L 元大S&P500正2,2017/04/26,25.21,"5,916",437
00648R 元大S&P500反1,2017/04/26,15.96,"197,188","1,679"
00649 復華恒生,2017/04/26,17.4,"23,272",123
00650L 復華恒生正2,2017/04/26,23.42,"5,838",839
00651R 復華恒生反1,2017/04/26,10.8,"20,192",101
00652 富邦印度,2017/04/26,21.51,"15,535",586
00653L 富邦印度正2,2017/04/26,24.75,"26,403","1,781"
00654R 富邦印度反1,2017/04/26,16.8,"10,466",317
00655L 國泰中國A50正2,2017/04/26,23.96,"58,958",840
00656R 國泰中國A50反1,2017/04/26,16.75,"8,357",905
00657 國泰日經225,2017/04/26,23.2,"12,113",10
00658L 國泰日本正2,2017/04/26,26.96,"3,845",897
00659R 國泰日本反1,2017/04/26,15.63,"13,080",353
00660 元大歐洲50,2017/04/26,24.78,"40,031",79
00661 元大日經225,2017/04/26,23.93,"4,425",1
00662 富邦NASDAQ,2017/04/26,23.09,"12,029",220
00663L 國泰臺灣加權正2,2017/04/26,26.22,"13,809","2,179"
00664R 國泰臺灣加權反1,2017/04/26,16.98,"146,075","1,433"
00665L 富邦 H股正2,2017/04/26,24.58,"46,965","2,337"
00666R 富邦 H股反1,2017/04/26,16.44,"9,124",664
00667 元大韓國,2017/04/26,20.49,"5,429",67
00668 國泰美國道瓊,2017/04/26,21.88,"10,558",143
00669R 國泰美國道瓊反1,2017/04/26,16.87,"47,617","1,069"
00670L 富邦NASDAQ正2,2017/04/26,21.7,"14,645","1,118"
00671R 富邦NASDAQ反1,2017/04/26,18.9,"20,384","1,394"
00672L 元大S&P原油正2,2017/04/26,15.57,"228,187","18,386"
00673R 元大S&P原油反1,2017/04/26,20.7,"28,703","1,652"
00674R 元大S&P黃金反1,2017/04/26,19.86,"6,603",50
00675L 富邦臺灣加權正2,2017/04/26,11.37,"26,786","3,510"
00676R 富邦臺灣加權反1,2017/04/26,9.19,"129,011","7,871"
00677U 富邦VIX,2017/04/26,11.8,"76,708","7,603"
00678 群益NBI生技,2017/04/26,19.7,"36,948",63
00679B 元大美債20年,2017/04/26,37.85,"560,192","1,274"
00680L 元大美債20正2,2017/04/26,19.51,"10,076",48
00681R 元大美債20反1,2017/04/26,19.58,"14,594",38
00682U 元大美元指數,2017/04/26,19.35,"9,644",56
00683L 元大美元指數正2,2017/04/26,18.83,"10,934",644
00684R 元大美元指數反1,2017/04/26,20.27,"10,188",100
00685L 群益臺灣加權正2,2017/04/26,9.96,"23,139","1,623"
00686R 群益臺灣加權反1,2017/04/26,9.96,"31,776","3,369"
00687B 國泰20年美債,2017/04/26,39.1,"14,787","1,934"
00688L 國泰20年美債正2,2017/04/26,19.77,"11,115",321
00689R 國泰20年美債反1,2017/04/26,19.87,"9,389",324
00690 兆豐藍籌30,2017/04/26,19.91,"22,830",731
00691R 兆豐藍籌30反1,2017/04/26,19.89,"10,106",16
00693U 華頓S&P黃豆,2017/04/26,19.93,"27,166","2,075"
008201 BP上證50,2017/04/26,80,"2,749",0
01001T 土銀富邦R1,2017/04/26,14.68,"583,000",26
01002T 土銀國泰R1,2017/04/26,15.02,"1,393,000",520
01003T 兆豐新光R1,2017/04/26,14.1,"1,130,000",128
01004T 土銀富邦R2,2017/04/26,12.96,"730,200",10
01007T 兆豐國泰R2,2017/04/26,14.45,"720,000",128
1101 台泥,2017/04/26,35.65,"3,692,175","9,700"
1102 亞泥,2017/04/26,30.55,"3,361,447","2,790"
1103 嘉泥,2017/04/26,11.1,"774,780","1,126"
1104 環泥,2017/04/26,26.05,"634,572",122
